task_type,query,GT_filter_start_datetime,GT_filter_end_datetime,GT_filter_start_if,GT_filter_end_if,PRED_filter_start_datetime,PRED_filter_end_datetime,PRED_filter_start_if,PRED_filter_end_if,raw_output,parsed_output
时间和if值,目前有哪些医学研究正在探索个性化医疗的可能性？,2023-01-01,,,,2023-01-01,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-ad3aa18c6d5f4caba48f6bf870eed23e"", ""object"": ""chat.completion"", ""created"": 1781080018, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 91, ""completion_tokens"": 29, ""total_tokens"": 120}}}","{""filter_start_datetime"": ""2023-01-01"", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,总结一下Miracle临床研究的最新结果,2023-01-01,,,,2023-01-01,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-26f8fc5e6b3c43c9b37ab6f5ea26430b"", ""object"": ""chat.completion"", ""created"": 1781080020, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 29, ""total_tokens"": 117}}}","{""filter_start_datetime"": ""2023-01-01"", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,肝内胆管癌患者血脂异常比例和普通人血脂异常比例如何,,,,,,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-34375abdfcf64d9b97613ce9ed63acbb"", ""object"": ""chat.completion"", ""created"": 1781080021, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 95, ""completion_tokens"": 18, ""total_tokens"": 113}}}","{""filter_start_datetime"": """", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,esmo结直肠癌最新指南中 针对低位直肠癌的分层治疗策略是什么,2023-01-01,,,,2023-01-01,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-c8aa944935f14cb8bcaa4529694dad3b"", ""object"": ""chat.completion"", ""created"": 1781080024, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 97, ""completion_tokens"": 29, ""total_tokens"": 126}}}","{""filter_start_datetime"": ""2023-01-01"", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,神经外科2000以后的国内外指南共识,2000-01-01,,,,2000-01-01,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""2000-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-e082219b95a74f7fa189ac54898f2ccc"", ""object"": ""chat.completion"", ""created"": 1781080026, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""2000-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 91, ""completion_tokens"": 29, ""total_tokens"": 120}}}","{""filter_start_datetime"": ""2000-01-01"", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,是否有卡铂和紫杉醇治疗转移性结直肠癌肉瘤的病例报告？,,,,,,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-812bdf5186d44c57859ebe72ae01d985"", ""object"": ""chat.completion"", ""created"": 1781080027, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 99, ""completion_tokens"": 18, ""total_tokens"": 117}}}","{""filter_start_datetime"": """", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,2023年ESMO年会有哪些值得关注的研究？,2023-01-01,2023-12-31,,,2023-01-01,2023-12-31,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""2023-12-31\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-9c9039b5bbf04da490c72832a73478a7"", ""object"": ""chat.completion"", ""created"": 1781080031, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""2023-12-31\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 95, ""completion_tokens"": 40, ""total_tokens"": 135}}}","{""filter_start_datetime"": ""2023-01-01"", ""filter_end_datetime"": ""2023-12-31"", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,呋喹替尼在国内获批用于crc几线治疗,,,,,,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-fbf00691896541fdb2afda1a130afb98"", ""object"": ""chat.completion"", ""created"": 1781080032, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 93, ""completion_tokens"": 18, ""total_tokens"": 111}}}","{""filter_start_datetime"": """", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,肥胖最新全球流行病高质量文献,2023-01-01,,3,,2023-01-01,,3.0,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""3.0\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-47c4be96fa49412ca49915ec8ac39e5c"", ""object"": ""chat.completion"", ""created"": 1781080035, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""3.0\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 33, ""total_tokens"": 121}}}","{""filter_start_datetime"": ""2023-01-01"", ""filter_end_datetime"": """", ""filter_start_if"": ""3.0"", ""filter_end_if"": """"}"
时间和if值,目前ctDNA在胰腺癌中的应用有哪些?,2023-01-01,,,,,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-d59b108a2e904057b1b8147595cdbf8c"", ""object"": ""chat.completion"", ""created"": 1781080036, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 90, ""completion_tokens"": 18, ""total_tokens"": 108}}}","{""filter_start_datetime"": """", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,请告诉我AJCC的结肠癌TNM分期表,,,,,,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-a43508cf9e294c47b0ae0d917bc9e1e0"", ""object"": ""chat.completion"", ""created"": 1781080037, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 92, ""completion_tokens"": 18, ""total_tokens"": 110}}}","{""filter_start_datetime"": """", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,下肢动脉闭塞症腔内手术中debulking技术的优点和缺点,,,,,,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-360c0cdc35204404a50a2a34a8102222"", ""object"": ""chat.completion"", ""created"": 1781080039, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 96, ""completion_tokens"": 18, ""total_tokens"": 114}}}","{""filter_start_datetime"": """", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,糖尿病最新指南,2023-01-01,,,,2023-01-01,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-230719f44c7c47e4b270e206a507774f"", ""object"": ""chat.completion"", ""created"": 1781080041, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 84, ""completion_tokens"": 29, ""total_tokens"": 113}}}","{""filter_start_datetime"": ""2023-01-01"", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,请告诉我指南对于结肠癌TNM分期的阐述,,,,,,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-7ccd6c9228194cb08675b076ef3de91d"", ""object"": ""chat.completion"", ""created"": 1781080043, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 92, ""completion_tokens"": 18, ""total_tokens"": 110}}}","{""filter_start_datetime"": """", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,近年来，有哪些医学研究在儿童健康领域取得了显著进展？,2023-01-01,,,,2023-01-01,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-700f87a88b194197a19fe4ebf4a2d1ec"", ""object"": ""chat.completion"", ""created"": 1781080045, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 94, ""completion_tokens"": 29, ""total_tokens"": 123}}}","{""filter_start_datetime"": ""2023-01-01"", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,当前医学界在哪些领域取得了突破性的研究进展？,2023-01-01,,,,2023-01-01,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-4ed40cee3446467f8f28e6fef89c5aab"", ""object"": ""chat.completion"", ""created"": 1781080047, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 93, ""completion_tokens"": 29, ""total_tokens"": 122}}}","{""filter_start_datetime"": ""2023-01-01"", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,kamikawa手术相关新进展,2023-01-01,,,,2023-01-01,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-04f22bcf283d48859753cd7f83cd0697"", ""object"": ""chat.completion"", ""created"": 1781080049, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 29, ""total_tokens"": 117}}}","{""filter_start_datetime"": ""2023-01-01"", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,不同类型降血脂机制对肝癌预防效果机制研究现状,2023-01-01,,,,2023-01-01,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-2f1ca9f7d807496983ada56d2ac3baaa"", ""object"": ""chat.completion"", ""created"": 1781080052, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""2023-01-01\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 92, ""completion_tokens"": 29, ""total_tokens"": 121}}}","{""filter_start_datetime"": ""2023-01-01"", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
时间和if值,法布雷病 心脏超声 指南,,,,,,,,,"{""data"": {""result"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-950d51390a4a4222babb5755f46c0d07"", ""object"": ""chat.completion"", ""created"": 1781080053, ""model"": ""qwen35-4b-time-if"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""filter_start_datetime\"":\""\"",\""filter_end_datetime\"":\""\"",\""filter_start_if\"":\""\"",\""filter_end_if\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 89, ""completion_tokens"": 18, ""total_tokens"": 107}}}","{""filter_start_datetime"": """", ""filter_end_datetime"": """", ""filter_start_if"": """", ""filter_end_if"": """"}"
