task_type,query,GT_data_type,PRED_data_type,raw_output,parsed_output
data_type,混合痔现有治疗方案在特定亚组患者中的空白、新型微创技术和药物治疗的最新进展、长期随访数据、真实世界研究及术后并发症个体化预防策略的专家观点或综述 近3年,综述,综述,"{""data"": {""result"": ""{\""data_type\"":\""综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-25fa91809a0e4e6a91a8e8aa9b618024"", ""object"": ""chat.completion"", ""created"": 1781079626, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 132, ""completion_tokens"": 6, ""total_tokens"": 138}}}","{""data_type"": ""综述""}"
data_type,PARP抑制剂继发MDS病例分析,病例系列/病例报告,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-7523d199f5734b7aa5d2dbaf65e0cc53"", ""object"": ""chat.completion"", ""created"": 1781079626, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 98, ""completion_tokens"": 5, ""total_tokens"": 103}}}","{""data_type"": """"}"
data_type,请问从肿瘤微环境申报课题有哪些方向？,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-a6b9d16a083b4baeb8ccaaf021d0abe0"", ""object"": ""chat.completion"", ""created"": 1781079626, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 100, ""completion_tokens"": 5, ""total_tokens"": 105}}}","{""data_type"": """"}"
data_type,司美格鲁肽在减重上的疗效以及安全性。麻烦筛选RCT研究,RCT,RCT,"{""data"": {""result"": ""{\""data_type\"":\""RCT\""}""}, ""raw_openai"": {""id"": ""chatcmpl-d5c353f0acc64b0895d89ec557e03240"", ""object"": ""chat.completion"", ""created"": 1781079627, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""RCT\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 106, ""completion_tokens"": 6, ""total_tokens"": 112}}}","{""data_type"": ""RCT""}"
data_type,是否有卡铂和紫杉醇治疗转移性结直肠癌肉瘤的病例报告？,病例系列/病例报告,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-69f7a09a33c14b749ded398ac68d0c15"", ""object"": ""chat.completion"", ""created"": 1781079627, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 108, ""completion_tokens"": 5, ""total_tokens"": 113}}}","{""data_type"": """"}"
data_type,神经外科2000以后的国内外指南共识,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-89dbfdf5e1b940d294285f1b8877b9a4"", ""object"": ""chat.completion"", ""created"": 1781079628, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 100, ""completion_tokens"": 5, ""total_tokens"": 105}}}","{""data_type"": """"}"
data_type,"CDK4/6 Inhibitor Resistance in Hormone Receptor-Positive Metastatic Breast Cancer: Translational Research, Clinical Trials, and Future Directions这篇综述讲了什么",综述,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-9d55d7eff76a4df5b1e30252a46a5f90"", ""object"": ""chat.completion"", ""created"": 1781079628, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 127, ""completion_tokens"": 5, ""total_tokens"": 132}}}","{""data_type"": """"}"
data_type,什么是胃食管返流病,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-3ff1d16136f74d7d8ed400b188609209"", ""object"": ""chat.completion"", ""created"": 1781079629, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 96, ""completion_tokens"": 5, ""total_tokens"": 101}}}","{""data_type"": """"}"
data_type,如何确诊sma合并dmd病例？,病例系列/病例报告,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-25070a17802a4e2ebf97ea05ebd938fd"", ""object"": ""chat.completion"", ""created"": 1781079629, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 99, ""completion_tokens"": 5, ""total_tokens"": 104}}}","{""data_type"": """"}"
data_type,针对基层患者和家属，血液疾病健康教育的具体内容和形式有哪些？基层医院开展血液疾病早期筛查的实用工具和方法有哪些？研究类型：Review。发布时间：近5年。影响因子(IF)值:无限制。,综述,综述,"{""data"": {""result"": ""{\""data_type\"":\""综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-85def9d1ab804134b91bb3c8e70226ab"", ""object"": ""chat.completion"", ""created"": 1781079630, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 137, ""completion_tokens"": 6, ""total_tokens"": 143}}}","{""data_type"": ""综述""}"
data_type,非小细胞肺癌alk突变患者服用阿来替尼耐药之后怎么治疗？,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-5573a84a342e46c698908ab5b6dd6ada"", ""object"": ""chat.completion"", ""created"": 1781079630, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 106, ""completion_tokens"": 5, ""total_tokens"": 111}}}","{""data_type"": """"}"
data_type,CACA指南中对于乳腺癌保乳手术的切缘有什么规定,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-054ddf8bd78343b2b4e651e96bfd986e"", ""object"": ""chat.completion"", ""created"": 1781079631, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 103, ""completion_tokens"": 5, ""total_tokens"": 108}}}","{""data_type"": """"}"
data_type,膝关节骨性关节炎基础研究前沿热点有哪些,基础研究,基础研究,"{""data"": {""result"": ""{\""data_type\"":\""基础研究\""}""}, ""raw_openai"": {""id"": ""chatcmpl-a7864148c1094f8f8ebf22cbb60d5d28"", ""object"": ""chat.completion"", ""created"": 1781079631, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""基础研究\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 97, ""completion_tokens"": 6, ""total_tokens"": 103}}}","{""data_type"": ""基础研究""}"
data_type,孟德尔分析在临床指南中的证据,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-d0ffdb5e0c4f4271b52be65cd8d25b24"", ""object"": ""chat.completion"", ""created"": 1781079632, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 98, ""completion_tokens"": 5, ""total_tokens"": 103}}}","{""data_type"": """"}"
data_type,危重症护理中，抗生素与常用静脉输液（如营养液、电解质、镇静剂）的常见配伍禁忌案例、发生机制及护士在临床实践中的预防与应急处理流程？研究类型：Review。发布时间：近5年。影响因子(IF)值:无限制。,综述,综述,"{""data"": {""result"": ""{\""data_type\"":\""综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-2c38e0429cd54b46be6aa4a293b2f4fb"", ""object"": ""chat.completion"", ""created"": 1781079632, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 151, ""completion_tokens"": 6, ""total_tokens"": 157}}}","{""data_type"": ""综述""}"
data_type,澳门大学在脑科学和脑机接口领域近期（近2年）是否有举办或参与重要的学术会议或合作项目？研究类型：Review。发布时间：2022年-至今。影响因子(IF)值:无限制。,综述,综述,"{""data"": {""result"": ""{\""data_type\"":\""综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-bb49d707ac8a4eb5bf44b549d420bdcc"", ""object"": ""chat.completion"", ""created"": 1781079633, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 139, ""completion_tokens"": 6, ""total_tokens"": 145}}}","{""data_type"": ""综述""}"
data_type,肥胖脂肪肝进展为NASH、肝硬化及肝癌的分子机制和病理生理学研究研究类型：Basic_Research。发布时间：2020年-至今。影响因子(IF)值:IF >= 5。,基础研究,基础研究,"{""data"": {""result"": ""{\""data_type\"":\""基础研究\""}""}, ""raw_openai"": {""id"": ""chatcmpl-257f0739b4834c5aa955b7f193b812f5"", ""object"": ""chat.completion"", ""created"": 1781079633, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""基础研究\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 135, ""completion_tokens"": 6, ""total_tokens"": 141}}}","{""data_type"": ""基础研究""}"
data_type,法瑞西单抗研究中治疗/对照组的疗效和安全性数据综述,综述,综述,"{""data"": {""result"": ""{\""data_type\"":\""综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-619027fc86564e7e988c2a0804a4f388"", ""object"": ""chat.completion"", ""created"": 1781079634, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 104, ""completion_tokens"": 6, ""total_tokens"": 110}}}","{""data_type"": ""综述""}"
data_type,picc管能抽血吗,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-6b6675b4abf1461bb54722a87cb6a559"", ""object"": ""chat.completion"", ""created"": 1781079634, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 96, ""completion_tokens"": 5, ""total_tokens"": 101}}}","{""data_type"": """"}"
data_type,不同类型降血脂机制对肝癌预防效果机制研究现状,基础研究,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-925556c4175f42279453e9c9a6930ee5"", ""object"": ""chat.completion"", ""created"": 1781079635, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 101, ""completion_tokens"": 5, ""total_tokens"": 106}}}","{""data_type"": """"}"
data_type,allergic rhinitis近三年的流行病学研究结果,观察性研究,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-a70a134e6cbd40bfa79f6259700c9f78"", ""object"": ""chat.completion"", ""created"": 1781079635, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 100, ""completion_tokens"": 5, ""total_tokens"": 105}}}","{""data_type"": """"}"
data_type,恶性肠梗阻中国专家共识有啥推荐,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-083d6fa2bdb94483b1409d863ad2744c"", ""object"": ""chat.completion"", ""created"": 1781079635, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 98, ""completion_tokens"": 5, ""total_tokens"": 103}}}","{""data_type"": """"}"
data_type,设计一个心衰药物的临床试验，要考虑哪些疗效指标？,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-a3bd37b9fdb74326975aa141a5393962"", ""object"": ""chat.completion"", ""created"": 1781079636, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 102, ""completion_tokens"": 5, ""total_tokens"": 107}}}","{""data_type"": """"}"
data_type,甘露醇在脑出血中的用法用量,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-f1472daf0ab742b695b1d36bfc819ddf"", ""object"": ""chat.completion"", ""created"": 1781079636, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 98, ""completion_tokens"": 5, ""total_tokens"": 103}}}","{""data_type"": """"}"
data_type,胰肠吻合方式 综述,综述,综述,"{""data"": {""result"": ""{\""data_type\"":\""综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-920d6cffa13a41eaa334a5267c92095e"", ""object"": ""chat.completion"", ""created"": 1781079637, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 96, ""completion_tokens"": 6, ""total_tokens"": 102}}}","{""data_type"": ""综述""}"
data_type,esmo结直肠癌最新指南中 针对低位直肠癌的分层治疗策略是什么,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-b42039af5c63418dbda0072b996f5740"", ""object"": ""chat.completion"", ""created"": 1781079637, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 106, ""completion_tokens"": 5, ""total_tokens"": 111}}}","{""data_type"": """"}"
data_type,最近十年内 随机对照试验、自身对照研究、队列研究 的资源需求分析综述，需包含人力、设备、预算等画像。,综述,RCT,"{""data"": {""result"": ""{\""data_type\"":\""RCT\""}""}, ""raw_openai"": {""id"": ""chatcmpl-95b9854858eb42a296ea31a32a55bfd6"", ""object"": ""chat.completion"", ""created"": 1781079638, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""RCT\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 120, ""completion_tokens"": 6, ""total_tokens"": 126}}}","{""data_type"": ""RCT""}"
data_type,请帮我查找并显示特应性皮炎的病例内容,病例系列/病例报告,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-7918868e766f44268203acb9201a2e88"", ""object"": ""chat.completion"", ""created"": 1781079638, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 101, ""completion_tokens"": 5, ""total_tokens"": 106}}}","{""data_type"": """"}"
data_type,检索关于“药物（奥沙利铂/卡培他滨）诱导的混合型免疫反应性肾损伤”在“肿瘤患者急进性肾功能衰竭”背景下的诊断标准，要求证据为“近10年肿瘤肾脏病学临床指南或专家共识”中关于药物性肾损伤的诊断路径的部分，或“近3年发表于IF≥5期刊、关于奥沙利铂/卡培他滨相关肾损伤的病理机制或诊断生物标志物的系统评价或病例系列研究”。,Meta分析/系统性综述,Meta分析/系统性综述,"{""data"": {""result"": ""{\""data_type\"":\""Meta分析/系统性综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-1fe1b205d37140bab2cbe81db4584c85"", ""object"": ""chat.completion"", ""created"": 1781079639, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""Meta分析/系统性综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 195, ""completion_tokens"": 10, ""total_tokens"": 205}}}","{""data_type"": ""Meta分析/系统性综述""}"
data_type,二甲双胍、口服避孕药、抗炎药物、肠道菌群调节剂对PCOS合并MAFLD的疗效、机制的RCT或系统评价 近5年,Meta分析/系统性综述,Meta分析/系统性综述,"{""data"": {""result"": ""{\""data_type\"":\""Meta分析/系统性综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-8fb049b8a03548049eb49ec76d25f0d0"", ""object"": ""chat.completion"", ""created"": 1781079640, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""Meta分析/系统性综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 125, ""completion_tokens"": 10, ""total_tokens"": 135}}}","{""data_type"": ""Meta分析/系统性综述""}"
data_type,罗列结直肠癌综述,综述,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-282ad29c4c1041b6b1968e2ff09bc8f4"", ""object"": ""chat.completion"", ""created"": 1781079640, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 94, ""completion_tokens"": 5, ""total_tokens"": 99}}}","{""data_type"": """"}"
data_type,目前ctDNA在胰腺癌中的应用有哪些？,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-feca7f1f6cf441edab06f0296f03eba1"", ""object"": ""chat.completion"", ""created"": 1781079641, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 99, ""completion_tokens"": 5, ""total_tokens"": 104}}}","{""data_type"": """"}"
data_type,托伐普坦治疗肝硬化难治性腹水，看到指南提到使用托伐普坦一般不超过30天，为什么是30天,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-ca94b54b9ad84c5ca177e98acfa65e6d"", ""object"": ""chat.completion"", ""created"": 1781079641, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 121, ""completion_tokens"": 5, ""total_tokens"": 126}}}","{""data_type"": """"}"
data_type,有没有办公室丢失笔的队列研究,观察性研究,观察性研究,"{""data"": {""result"": ""{\""data_type\"":\""观察性研究\""}""}, ""raw_openai"": {""id"": ""chatcmpl-c52c869072244adf994839248a463069"", ""object"": ""chat.completion"", ""created"": 1781079642, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""观察性研究\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 97, ""completion_tokens"": 8, ""total_tokens"": 105}}}","{""data_type"": ""观察性研究""}"
