task_type,query,GT_topics,GT_keywords,PRED_topics,PRED_keywords,raw_output,parsed_output
topic和keywords,最近5年直肠癌哪些方面研究是热门,直肠癌,热门研究,直肠癌,"研究热点, 最近5年","{""data"": {""result"": ""{\""topics\"":\""直肠癌\"",\""keywords\"":\""研究热点, 最近5年\""}""}, ""raw_openai"": {""id"": ""chatcmpl-145c15016b7240e5a5c9fa1afb510cea"", ""object"": ""chat.completion"", ""created"": 1781077885, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""直肠癌\"",\""keywords\"":\""研究热点, 最近5年\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 83, ""completion_tokens"": 15, ""total_tokens"": 98}}}","{""topics"": ""直肠癌"", ""keywords"": ""研究热点, 最近5年""}"
topic和keywords,你好，请帮忙查询10篇关于皮肤护理的病例报道,皮肤护理,病例,皮肤护理,病例报道,"{""data"": {""result"": ""{\""topics\"":\""皮肤护理\"",\""keywords\"":\""病例报道\""}""}, ""raw_openai"": {""id"": ""chatcmpl-9fdd34c88f2243e0bf41efb586d968a4"", ""object"": ""chat.completion"", ""created"": 1781077885, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""皮肤护理\"",\""keywords\"":\""病例报道\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 89, ""completion_tokens"": 11, ""total_tokens"": 100}}}","{""topics"": ""皮肤护理"", ""keywords"": ""病例报道""}"
topic和keywords,白内障术后,,,白内障术后,"术后管理, 并发症预防, 康复指导","{""data"": {""result"": ""{\""topics\"":\""白内障术后\"",\""keywords\"":\""术后管理, 并发症预防, 康复指导\""}""}, ""raw_openai"": {""id"": ""chatcmpl-4b80600183c34f379875fdde8a229a57"", ""object"": ""chat.completion"", ""created"": 1781077886, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""白内障术后\"",\""keywords\"":\""术后管理, 并发症预防, 康复指导\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 77, ""completion_tokens"": 19, ""total_tokens"": 96}}}","{""topics"": ""白内障术后"", ""keywords"": ""术后管理, 并发症预防, 康复指导""}"
topic和keywords,IgG4-RD是什么？,IgG4-RD,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-1f192ca79ef34ab48df515fdce4d7b1d"", ""object"": ""chat.completion"", ""created"": 1781077886, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 82, ""completion_tokens"": 6, ""total_tokens"": 88}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,是否有卡铂和紫杉醇治疗转移性结直肠癌肉瘤的病例报告？,转移性结直肠癌；卡铂；紫杉醇,病例报告,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-0f5b2a72eb5e41149a34752b74c98972"", ""object"": ""chat.completion"", ""created"": 1781077886, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 93, ""completion_tokens"": 6, ""total_tokens"": 99}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,结直肠癌发病率的流行病学数据有哪些？,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-763598538e134197b2ba6f10f1cdd889"", ""object"": ""chat.completion"", ""created"": 1781077886, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 83, ""completion_tokens"": 6, ""total_tokens"": 89}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,氘丁苯那嗪说明书,氘丁苯那嗪,说明书,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-819c720e79c444178e400e534bf188eb"", ""object"": ""chat.completion"", ""created"": 1781077887, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 83, ""completion_tokens"": 6, ""total_tokens"": 89}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,氨曲南/阿维巴坦治疗耐碳青霉烯铜绿假单胞菌感染的临床疗效,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-ede90ec5b944495f9b04b03565c7bfc6"", ""object"": ""chat.completion"", ""created"": 1781077887, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 98, ""completion_tokens"": 6, ""total_tokens"": 104}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,恶性肠梗阻中国专家共识有啥推荐,恶性肠梗阻,,恶性肠梗阻,"中国专家共识, 推荐","{""data"": {""result"": ""{\""topics\"":\""恶性肠梗阻\"",\""keywords\"":\""中国专家共识, 推荐\""}""}, ""raw_openai"": {""id"": ""chatcmpl-4ee00b034bcf4f80accfdd7ccec5a0a3"", ""object"": ""chat.completion"", ""created"": 1781077887, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""恶性肠梗阻\"",\""keywords\"":\""中国专家共识, 推荐\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 83, ""completion_tokens"": 16, ""total_tokens"": 99}}}","{""topics"": ""恶性肠梗阻"", ""keywords"": ""中国专家共识, 推荐""}"
topic和keywords,日本胃癌最新版指南与上版指南区别？,胃癌,指南,胃癌,"指南, 区别","{""data"": {""result"": ""{\""topics\"":\""胃癌\"",\""keywords\"":\""指南, 区别\""}""}, ""raw_openai"": {""id"": ""chatcmpl-b234da9c9ada4d01a79280597e2d8021"", ""object"": ""chat.completion"", ""created"": 1781077888, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""胃癌\"",\""keywords\"":\""指南, 区别\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 85, ""completion_tokens"": 12, ""total_tokens"": 97}}}","{""topics"": ""胃癌"", ""keywords"": ""指南, 区别""}"
topic和keywords,头孢他定阿维巴坦对鲍曼不动杆菌抗菌活性差的机制,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-c3f8e659b1ae4986b239912d69e76c3c"", ""object"": ""chat.completion"", ""created"": 1781077888, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 91, ""completion_tokens"": 6, ""total_tokens"": 97}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,2026版成人脓毒症诊疗指南的主要内容是什么？,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-01f0c4d28c13496eabf634912672b688"", ""object"": ""chat.completion"", ""created"": 1781077888, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 6, ""total_tokens"": 94}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,乳腺癌LuminalA淋巴结一枚转移，指南治疗建议,乳腺癌,LuminalA；淋巴结转移,乳腺癌,"LuminalA, 淋巴结转移, 治疗建议","{""data"": {""result"": ""{\""topics\"":\""乳腺癌\"",\""keywords\"":\""LuminalA, 淋巴结转移, 治疗建议\""}""}, ""raw_openai"": {""id"": ""chatcmpl-e61c0338dca24e369399315f3e6d08be"", ""object"": ""chat.completion"", ""created"": 1781077889, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""乳腺癌\"",\""keywords\"":\""LuminalA, 淋巴结转移, 治疗建议\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 87, ""completion_tokens"": 20, ""total_tokens"": 107}}}","{""topics"": ""乳腺癌"", ""keywords"": ""LuminalA, 淋巴结转移, 治疗建议""}"
topic和keywords,维生素C注射液静脉滴注的临床推荐终浓度限制是多少？,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-e380372e8d8240ac87d4a35e587e305f"", ""object"": ""chat.completion"", ""created"": 1781077889, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 6, ""total_tokens"": 94}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,甘露醇在脑出血中的用法用量,脑出血,甘露醇；用法用量,脑出血,"甘露醇, 用法用量","{""data"": {""result"": ""{\""topics\"":\""脑出血\"",\""keywords\"":\""甘露醇, 用法用量\""}""}, ""raw_openai"": {""id"": ""chatcmpl-c0274b4a765b46bba707e1ea88afae89"", ""object"": ""chat.completion"", ""created"": 1781077889, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""脑出血\"",\""keywords\"":\""甘露醇, 用法用量\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 83, ""completion_tokens"": 15, ""total_tokens"": 98}}}","{""topics"": ""脑出血"", ""keywords"": ""甘露醇, 用法用量""}"
topic和keywords,中医药治疗特应性皮炎的机制研究,特应性皮炎,中医药；机制,特应性皮炎,"中医药治疗, 机制研究","{""data"": {""result"": ""{\""topics\"":\""特应性皮炎\"",\""keywords\"":\""中医药治疗, 机制研究\""}""}, ""raw_openai"": {""id"": ""chatcmpl-32f36da9155a49308b5eaf449e477ed7"", ""object"": ""chat.completion"", ""created"": 1781077890, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""特应性皮炎\"",\""keywords\"":\""中医药治疗, 机制研究\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 83, ""completion_tokens"": 16, ""total_tokens"": 99}}}","{""topics"": ""特应性皮炎"", ""keywords"": ""中医药治疗, 机制研究""}"
topic和keywords,肠镜切除息肉出现肠穿孔后多久可以手术？,肠穿孔,肠镜切除息肉；手术,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-85826e71adee4ad9aaeed8ffcd0cc6e8"", ""object"": ""chat.completion"", ""created"": 1781077890, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 87, ""completion_tokens"": 6, ""total_tokens"": 93}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,什么样的胰腺癌患者可以接受FOLFIRINOX作为一线治疗?,胰腺癌,FOLFIRINOX；一线治疗,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-7e1c338d6c1c4b849e14d40e8ec25677"", ""object"": ""chat.completion"", ""created"": 1781077890, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 90, ""completion_tokens"": 6, ""total_tokens"": 96}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,什么是AMR的医学定义及其临床含义？,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-580a24ed8aa342ed89cd922f07d68add"", ""object"": ""chat.completion"", ""created"": 1781077890, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 85, ""completion_tokens"": 6, ""total_tokens"": 91}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,2023年圣安东尼奥会议早期乳腺癌治疗进展,乳腺癌,圣安东尼奥会议；早期；治疗进展,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-5813595b8f634eed83e39d585d6f6d4a"", ""object"": ""chat.completion"", ""created"": 1781077890, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 6, ""total_tokens"": 94}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,2024ASCO GI公布了哪些早期乳腺癌治疗进展,乳腺癌,早期；治疗进展,早期乳腺癌,"2024ASCO GI, 治疗进展","{""data"": {""result"": ""{\""topics\"":\""早期乳腺癌\"",\""keywords\"":\""2024ASCO GI, 治疗进展\""}""}, ""raw_openai"": {""id"": ""chatcmpl-ea0b5907f10b4a1fb033ba75c61f9446"", ""object"": ""chat.completion"", ""created"": 1781077891, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""早期乳腺癌\"",\""keywords\"":\""2024ASCO GI, 治疗进展\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 20, ""total_tokens"": 108}}}","{""topics"": ""早期乳腺癌"", ""keywords"": ""2024ASCO GI, 治疗进展""}"
topic和keywords,什么是肺结节？,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-550d74e097fe444c8020e3599b574c79"", ""object"": ""chat.completion"", ""created"": 1781077891, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 79, ""completion_tokens"": 6, ""total_tokens"": 85}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,RIC对睡眠影响的生理机制研究,,,RIC (右心室射流),"睡眠, 生理机制","{""data"": {""result"": ""{\""topics\"":\""RIC (右心室射流)\"",\""keywords\"":\""睡眠, 生理机制\""}""}, ""raw_openai"": {""id"": ""chatcmpl-b24d3c10294a488c9c67a8e9ef8cec4a"", ""object"": ""chat.completion"", ""created"": 1781077892, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""RIC (右心室射流)\"",\""keywords\"":\""睡眠, 生理机制\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 82, ""completion_tokens"": 19, ""total_tokens"": 101}}}","{""topics"": ""RIC (右心室射流)"", ""keywords"": ""睡眠, 生理机制""}"
topic和keywords,结直肠术后 腹腔脓肿 盆腔脓肿 抗感染治疗,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-5929cc05a0654edc875ad142fa4274c8"", ""object"": ""chat.completion"", ""created"": 1781077892, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 6, ""total_tokens"": 94}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,肝癌的高危因素有哪些？,肝癌,高危因素,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-c6d02cc7813247cea32fee26f97027bb"", ""object"": ""chat.completion"", ""created"": 1781077892, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 81, ""completion_tokens"": 6, ""total_tokens"": 87}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,肝癌 个体化治疗 复发预测 最新进展 会议摘要 近2年,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-fa505da3887e415e950860070a6ddfb9"", ""object"": ""chat.completion"", ""created"": 1781077892, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 93, ""completion_tokens"": 6, ""total_tokens"": 99}}}","{""topics"": """", ""keywords"": """"}"
