task_type,query,GT_author_name,GT_author_name英文变体,GT_author_institution,PRED_author_name,PRED_author_name英文变体,PRED_author_institution,raw_output,parsed_output
作者和机构,作者骆宏，情绪劳动量表,骆宏,"<variant>Luo Hong</variant>
 <variant>Hong Luo</variant>
 <variant>Luo, Hong</variant>
 <variant>Luo H.</variant>
 <variant>Luo H</variant>
 <variant>H. Luo</variant>
 <variant>H Luo</variant>
 <variant>L. Hong</variant>
 <variant>Hong L.</variant>",,骆宏,"<variant>Luo Hong</variant>
<variant>Hong Luo</variant>
<variant>Luo H.</variant>
<variant>H. Luo</variant>
<variant>Luo, Hong</variant>
<variant>Hong, Luo</variant>
<variant>Luo Hong-Hong</variant>
<variant>Hong-Hong Luo</variant>
<variant>Luo H. H.</variant>
<variant>H. H. Luo</variant>
<variant>Luo, H.</variant>
<variant>H., Luo</variant>",,"{""data"": {""result"": ""{\""author_name\"":\""骆宏\"",\""author_name英文变体\"":\""<variant>Luo Hong</variant>\\n<variant>Hong Luo</variant>\\n<variant>Luo H.</variant>\\n<variant>H. Luo</variant>\\n<variant>Luo, Hong</variant>\\n<variant>Hong, Luo</variant>\\n<variant>Luo Hong-Hong</variant>\\n<variant>Hong-Hong Luo</variant>\\n<variant>Luo H. H.</variant>\\n<variant>H. H. Luo</variant>\\n<variant>Luo, H.</variant>\\n<variant>H., Luo</variant>\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-203346be3a7c483fbff66cae0928ae7b"", ""object"": ""chat.completion"", ""created"": 1781078281, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""骆宏\"",\""author_name英文变体\"":\""<variant>Luo Hong</variant>\\n<variant>Hong Luo</variant>\\n<variant>Luo H.</variant>\\n<variant>H. Luo</variant>\\n<variant>Luo, Hong</variant>\\n<variant>Hong, Luo</variant>\\n<variant>Luo Hong-Hong</variant>\\n<variant>Hong-Hong Luo</variant>\\n<variant>Luo H. H.</variant>\\n<variant>H. H. Luo</variant>\\n<variant>Luo, H.</variant>\\n<variant>H., Luo</variant>\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 102, ""completion_tokens"": 137, ""total_tokens"": 239}}}","{""author_name"": ""骆宏"", ""author_name英文变体"": ""<variant>Luo Hong</variant>\n<variant>Hong Luo</variant>\n<variant>Luo H.</variant>\n<variant>H. Luo</variant>\n<variant>Luo, Hong</variant>\n<variant>Hong, Luo</variant>\n<variant>Luo Hong-Hong</variant>\n<variant>Hong-Hong Luo</variant>\n<variant>Luo H. H.</variant>\n<variant>H. H. Luo</variant>\n<variant>Luo, H.</variant>\n<variant>H., Luo</variant>"", ""author_institution"": """"}"
作者和机构,肺结核的医学科普知识,,,,,,,"{""data"": {""result"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-f877139a33b44020a4dca5ddb2bc72d6"", ""object"": ""chat.completion"", ""created"": 1781078282, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 101, ""completion_tokens"": 15, ""total_tokens"": 116}}}","{""author_name"": """", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,王国栋教授课题组发现一组功能冗余 CLE 多肽激素 CLE1 - CLE7 调控拟南芥不定芽从头发生。,王国栋,"<variant>Wang Guodong</variant>
 <variant>Guodong Wang</variant>
 <variant>Wang Guo-Dong</variant>
 <variant>Guo-Dong Wang</variant>
 <variant>Wang Guo Dong</variant>
 <variant>Guo Dong Wang</variant>
 <variant>Wang, Guodong</variant>
 <variant>Wang, Guo-Dong</variant>
 <variant>Wang, Guo Dong</variant>
 <variant>Wang G.</variant>
 <variant>Wang G</variant>
 <variant>G. Wang</variant>
 <variant>G Wang</variant>
 <variant>Wang GD</variant>
 <variant>Wang G D</variant>
 <variant>G.D. Wang</variant>
 <variant>G. D. Wang</variant>
 <variant>G D Wang</variant>
 <variant>Wang G.-D.</variant>
 <variant>Wang G-D</variant>
 <variant>G.-D. Wang</variant>
 <variant>G-D Wang</variant>
 <variant>W. Guodong</variant>
 <variant>Guodong W.</variant>
 <variant>W. Guo Dong</variant>
 <variant>Guo Dong W.</variant>
 <variant>W. Guo-Dong</variant>
 <variant>Guo-Dong W.</variant>",,王国栋,"<variant>Wang Guodong</variant>
<variant>Guodong Wang</variant>
<variant>Wang Guo-Dong</variant>
<variant>Guo-Dong Wang</variant>
<variant>W. Guodong</variant>
<variant>Wang, Guodong</variant>
<variant>W. Guo-Dong</variant>
<variant>Wang Guo Dong</variant>
<variant>Guo Dong Wang</variant>
<variant>W. Guo Dong</variant>
<variant>Guo-Dong, Wang</variant>",,"{""data"": {""result"": ""{\""author_name\"":\""王国栋\"",\""author_name英文变体\"":\""<variant>Wang Guodong</variant>\\n<variant>Guodong Wang</variant>\\n<variant>Wang Guo-Dong</variant>\\n<variant>Guo-Dong Wang</variant>\\n<variant>W. Guodong</variant>\\n<variant>Wang, Guodong</variant>\\n<variant>W. Guo-Dong</variant>\\n<variant>Wang Guo Dong</variant>\\n<variant>Guo Dong Wang</variant>\\n<variant>W. Guo Dong</variant>\\n<variant>Guo-Dong, Wang</variant>\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-07effd1c37c24d73bc9082df4bd5b5fe"", ""object"": ""chat.completion"", ""created"": 1781078294, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""王国栋\"",\""author_name英文变体\"":\""<variant>Wang Guodong</variant>\\n<variant>Guodong Wang</variant>\\n<variant>Wang Guo-Dong</variant>\\n<variant>Guo-Dong Wang</variant>\\n<variant>W. Guodong</variant>\\n<variant>Wang, Guodong</variant>\\n<variant>W. Guo-Dong</variant>\\n<variant>Wang Guo Dong</variant>\\n<variant>Guo Dong Wang</variant>\\n<variant>W. Guo Dong</variant>\\n<variant>Guo-Dong, Wang</variant>\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 126, ""completion_tokens"": 152, ""total_tokens"": 278}}}","{""author_name"": ""王国栋"", ""author_name英文变体"": ""<variant>Wang Guodong</variant>\n<variant>Guodong Wang</variant>\n<variant>Wang Guo-Dong</variant>\n<variant>Guo-Dong Wang</variant>\n<variant>W. Guodong</variant>\n<variant>Wang, Guodong</variant>\n<variant>W. Guo-Dong</variant>\n<variant>Wang Guo Dong</variant>\n<variant>Guo Dong Wang</variant>\n<variant>W. Guo Dong</variant>\n<variant>Guo-Dong, Wang</variant>"", ""author_institution"": """"}"
作者和机构,耿海霞教授的研究方向及课题组方向,耿海霞,"<variant>Geng Haixia</variant>
 <variant>Haixia Geng</variant>
 <variant>Geng Hai-Xia</variant>
 <variant>Hai-Xia Geng</variant>
 <variant>Geng Hai Xia</variant>
 <variant>Hai Xia Geng</variant>
 <variant>Geng, Haixia</variant>
 <variant>Geng, Hai-Xia</variant>
 <variant>Geng, Hai Xia</variant>
 <variant>Geng H.</variant>
 <variant>Geng H</variant>
 <variant>H. Geng</variant>
 <variant>H Geng</variant>
 <variant>Geng HX</variant>
 <variant>Geng H X</variant>
 <variant>H.X. Geng</variant>
 <variant>H. X. Geng</variant>
 <variant>H X Geng</variant>
 <variant>Geng H.-X.</variant>
 <variant>Geng H-X</variant>
 <variant>H.-X. Geng</variant>
 <variant>H-X Geng</variant>
 <variant>G. Haixia</variant>
 <variant>Haixia G.</variant>
 <variant>G. Hai Xia</variant>
 <variant>Hai Xia G.</variant>
 <variant>G. Hai-Xia</variant>
 <variant>Hai-Xia G.</variant>",,耿海霞,"<variant>Geng Haixia</variant>
<variant>Haixia Geng</variant>
<variant>Geng Hai-Xia</variant>
<variant>Hai-Xia Geng</variant>
<variant>Geng H. Xia</variant>
<variant>H. Xia Geng</variant>
<variant>Geng H. X.</variant>
<variant>H. X. Geng</variant>
<variant>Geng, Haixia</variant>
<variant>Haixia, Geng</variant>
<variant>Geng, Hai-Xia</variant>
<variant>Hai-Xia, Geng</variant>
<variant>Keng Hai-Hsia</variant>
<variant>Hai-Hsia Keng</variant>",,"{""data"": {""result"": ""{\""author_name\"":\""耿海霞\"",\""author_name英文变体\"":\""<variant>Geng Haixia</variant>\\n<variant>Haixia Geng</variant>\\n<variant>Geng Hai-Xia</variant>\\n<variant>Hai-Xia Geng</variant>\\n<variant>Geng H. Xia</variant>\\n<variant>H. Xia Geng</variant>\\n<variant>Geng H. X.</variant>\\n<variant>H. X. Geng</variant>\\n<variant>Geng, Haixia</variant>\\n<variant>Haixia, Geng</variant>\\n<variant>Geng, Hai-Xia</variant>\\n<variant>Hai-Xia, Geng</variant>\\n<variant>Keng Hai-Hsia</variant>\\n<variant>Hai-Hsia Keng</variant>\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-a31bcfb69c5840798b961b5a7e069206"", ""object"": ""chat.completion"", ""created"": 1781078308, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""耿海霞\"",\""author_name英文变体\"":\""<variant>Geng Haixia</variant>\\n<variant>Haixia Geng</variant>\\n<variant>Geng Hai-Xia</variant>\\n<variant>Hai-Xia Geng</variant>\\n<variant>Geng H. Xia</variant>\\n<variant>H. Xia Geng</variant>\\n<variant>Geng H. X.</variant>\\n<variant>H. X. Geng</variant>\\n<variant>Geng, Haixia</variant>\\n<variant>Haixia, Geng</variant>\\n<variant>Geng, Hai-Xia</variant>\\n<variant>Hai-Xia, Geng</variant>\\n<variant>Keng Hai-Hsia</variant>\\n<variant>Hai-Hsia Keng</variant>\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 104, ""completion_tokens"": 183, ""total_tokens"": 287}}}","{""author_name"": ""耿海霞"", ""author_name英文变体"": ""<variant>Geng Haixia</variant>\n<variant>Haixia Geng</variant>\n<variant>Geng Hai-Xia</variant>\n<variant>Hai-Xia Geng</variant>\n<variant>Geng H. Xia</variant>\n<variant>H. Xia Geng</variant>\n<variant>Geng H. X.</variant>\n<variant>H. X. Geng</variant>\n<variant>Geng, Haixia</variant>\n<variant>Haixia, Geng</variant>\n<variant>Geng, Hai-Xia</variant>\n<variant>Hai-Xia, Geng</variant>\n<variant>Keng Hai-Hsia</variant>\n<variant>Hai-Hsia Keng</variant>"", ""author_institution"": """"}"
作者和机构,Kras TCR-T 临床试验汇总,,,,,,,"{""data"": {""result"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-6cf8147454a440fbbf35dfca4c3ba3cb"", ""object"": ""chat.completion"", ""created"": 1781078309, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 103, ""completion_tokens"": 15, ""total_tokens"": 118}}}","{""author_name"": """", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,列出所有北京协和医院正在进行的临床试验,,,北京协和医院,,,,"{""data"": {""result"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-a1d3298fe3694a26a926e50c1f1c5c9c"", ""object"": ""chat.completion"", ""created"": 1781078311, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 102, ""completion_tokens"": 15, ""total_tokens"": 117}}}","{""author_name"": """", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,查找NCT号为 NCT03875090 的研究，其最新的研究状态是什么？以及主要研究者是谁？,,,,,,,"{""data"": {""result"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-b71c37cfe6a648ec88e5579b36434a86"", ""object"": ""chat.completion"", ""created"": 1781078312, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 123, ""completion_tokens"": 15, ""total_tokens"": 138}}}","{""author_name"": """", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,北京306生殖中心主任 朱亮的SCI文章,朱亮,"<variant>Zhu Liang</variant>
 <variant>Liang Zhu</variant>
 <variant>Zhu, Liang</variant>
 <variant>Zhu L.</variant>
 <variant>Zhu L</variant>
 <variant>L. Zhu</variant>
 <variant>L Zhu</variant>
 <variant>Z. Liang</variant>
 <variant>Liang Z.</variant>",北京306生殖中心,朱亮,"<variant>Zhu Liang</variant>
<variant>Liang Zhu</variant>
<variant>Zhu L.</variant>
<variant>L. Zhu</variant>
<variant>Zhu, Liang</variant>
<variant>Liang, Zhu</variant>
<variant>Zhu Liang-Liang</variant>
<variant>Zhu Liang-Liang</variant>
<variant>Zhu Liang-Liang</variant>",北京306生殖中心,"{""data"": {""result"": ""{\""author_name\"":\""朱亮\"",\""author_name英文变体\"":\""<variant>Zhu Liang</variant>\\n<variant>Liang Zhu</variant>\\n<variant>Zhu L.</variant>\\n<variant>L. Zhu</variant>\\n<variant>Zhu, Liang</variant>\\n<variant>Liang, Zhu</variant>\\n<variant>Zhu Liang-Liang</variant>\\n<variant>Zhu Liang-Liang</variant>\\n<variant>Zhu Liang-Liang</variant>\"",\""author_institution\"":\""北京306生殖中心\""}""}, ""raw_openai"": {""id"": ""chatcmpl-de2697898c7540049078081b276666d6"", ""object"": ""chat.completion"", ""created"": 1781078321, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""朱亮\"",\""author_name英文变体\"":\""<variant>Zhu Liang</variant>\\n<variant>Liang Zhu</variant>\\n<variant>Zhu L.</variant>\\n<variant>L. Zhu</variant>\\n<variant>Zhu, Liang</variant>\\n<variant>Liang, Zhu</variant>\\n<variant>Zhu Liang-Liang</variant>\\n<variant>Zhu Liang-Liang</variant>\\n<variant>Zhu Liang-Liang</variant>\"",\""author_institution\"":\""北京306生殖中心\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 106, ""completion_tokens"": 118, ""total_tokens"": 224}}}","{""author_name"": ""朱亮"", ""author_name英文变体"": ""<variant>Zhu Liang</variant>\n<variant>Liang Zhu</variant>\n<variant>Zhu L.</variant>\n<variant>L. Zhu</variant>\n<variant>Zhu, Liang</variant>\n<variant>Liang, Zhu</variant>\n<variant>Zhu Liang-Liang</variant>\n<variant>Zhu Liang-Liang</variant>\n<variant>Zhu Liang-Liang</variant>"", ""author_institution"": ""北京306生殖中心""}"
作者和机构,穿戴式头穴刺激系统在中风后失眠障碍患者中的定位识别技术及改善慢波睡眠的效果研究,,,,,,,"{""data"": {""result"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-3373ee7d3d9943c796d125bf625585da"", ""object"": ""chat.completion"", ""created"": 1781078323, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 117, ""completion_tokens"": 15, ""total_tokens"": 132}}}","{""author_name"": """", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,"找到Mejía-Salgado G, et al. Specific clinical phenotypes of dry eye disease can predict the presence of matrix metalloproteinase-9 in the ocular surface. Cont Lens Anterior Eye. 2025. PMID: 40670207.",Mejía-Salgado G,"<variant>Mejia-Salgado G</variant>
<variant>G. Mejia-Salgado</variant>
<variant>Mejia Salgado G</variant>
<variant>G. Mejia Salgado</variant>
<variant>Mejia-Salgado, G</variant>
<variant>G, Mejia-Salgado</variant>
<variant>Mejia Salgado, G</variant>
<variant>G, Mejia Salgado</variant>",,Mejía-Salgado G,"<variant>G. Mejía-Salgado</variant>
<variant>Mejía-Salgado, G</variant>
<variant>G. Mejía-Salgado,</variant>
<variant>Mejía-Salgado G.</variant>
<variant>G. Mejía-Salgado.</variant>
<variant>Mejía-Salgado, G.</variant>
<variant>G. Mejía-Salgado,</variant>
<variant>Mejía-Salgado, G</variant>",,"{""data"": {""result"": ""{\""author_name\"":\""Mejía-Salgado G\"",\""author_name英文变体\"":\""<variant>G. Mejía-Salgado</variant>\\n<variant>Mejía-Salgado, G</variant>\\n<variant>G. Mejía-Salgado,</variant>\\n<variant>Mejía-Salgado G.</variant>\\n<variant>G. Mejía-Salgado.</variant>\\n<variant>Mejía-Salgado, G.</variant>\\n<variant>G. Mejía-Salgado,</variant>\\n<variant>Mejía-Salgado, G</variant>\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-40a9a66879d84fbe8262b381bd052eb8"", ""object"": ""chat.completion"", ""created"": 1781078333, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""Mejía-Salgado G\"",\""author_name英文变体\"":\""<variant>G. Mejía-Salgado</variant>\\n<variant>Mejía-Salgado, G</variant>\\n<variant>G. Mejía-Salgado,</variant>\\n<variant>Mejía-Salgado G.</variant>\\n<variant>G. Mejía-Salgado.</variant>\\n<variant>Mejía-Salgado, G.</variant>\\n<variant>G. Mejía-Salgado,</variant>\\n<variant>Mejía-Salgado, G</variant>\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 156, ""completion_tokens"": 134, ""total_tokens"": 290}}}","{""author_name"": ""Mejía-Salgado G"", ""author_name英文变体"": ""<variant>G. Mejía-Salgado</variant>\n<variant>Mejía-Salgado, G</variant>\n<variant>G. Mejía-Salgado,</variant>\n<variant>Mejía-Salgado G.</variant>\n<variant>G. Mejía-Salgado.</variant>\n<variant>Mejía-Salgado, G.</variant>\n<variant>G. Mejía-Salgado,</variant>\n<variant>Mejía-Salgado, G</variant>"", ""author_institution"": """"}"
作者和机构,stephen liu教授,stephen liu,"<variant>Stephen Liu</variant>
 <variant>Liu Stephen</variant>
 <variant>Liu, Stephen</variant>
 <variant>Liu S.</variant>
 <variant>Liu S</variant>
 <variant>S. Liu</variant>
 <variant>S Liu</variant>
 <variant>L. Stephen</variant>
 <variant>Stephen L.</variant>",,stephen liu,"<variant>Liu Stephen</variant>
<variant>S. Liu</variant>
<variant>Liu, Stephen</variant>
<variant>Stephen L.</variant>
<variant>Liu S.</variant>
<variant>S. L.</variant>
<variant>Stephen Liu-Liu</variant>
<variant>Liu-Liu Stephen</variant>",,"{""data"": {""result"": ""{\""author_name\"":\""stephen liu\"",\""author_name英文变体\"":\""<variant>Liu Stephen</variant>\\n<variant>S. Liu</variant>\\n<variant>Liu, Stephen</variant>\\n<variant>Stephen L.</variant>\\n<variant>Liu S.</variant>\\n<variant>S. L.</variant>\\n<variant>Stephen Liu-Liu</variant>\\n<variant>Liu-Liu Stephen</variant>\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-415f6cc34d374493a36725ec7bbb152c"", ""object"": ""chat.completion"", ""created"": 1781078341, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""stephen liu\"",\""author_name英文变体\"":\""<variant>Liu Stephen</variant>\\n<variant>S. Liu</variant>\\n<variant>Liu, Stephen</variant>\\n<variant>Stephen L.</variant>\\n<variant>Liu S.</variant>\\n<variant>S. L.</variant>\\n<variant>Stephen Liu-Liu</variant>\\n<variant>Liu-Liu Stephen</variant>\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 100, ""completion_tokens"": 97, ""total_tokens"": 197}}}","{""author_name"": ""stephen liu"", ""author_name英文变体"": ""<variant>Liu Stephen</variant>\n<variant>S. Liu</variant>\n<variant>Liu, Stephen</variant>\n<variant>Stephen L.</variant>\n<variant>Liu S.</variant>\n<variant>S. L.</variant>\n<variant>Stephen Liu-Liu</variant>\n<variant>Liu-Liu Stephen</variant>"", ""author_institution"": """"}"
作者和机构,zhengliang Sun   Xiaohong Wang,zhengliang Sun；Zhengliang Sun；Xiaohong Wang,"<variant>Sun Zhengliang</variant>
<variant>Zheng Liang Sun</variant>
<variant>Sun Zheng Liang</variant>
<variant>Z. Sun</variant>
<variant>Sun, Zhengliang</variant>
<variant>Z. Zhengliang</variant>
<variant>Zheng-Liang Sun</variant>
<variant>Sun Zheng-Liang</variant>
<variant>Zheng-Liang, Sun</variant>
<variant>Wang Xiaohong</variant>
<variant>Xiao Hong Wang</variant>
<variant>Wang Xiao Hong</variant>
<variant>X. Wang</variant>
<variant>Wang, Xiaohong</variant>
<variant>X. Xiaohong</variant>
<variant>Xiao-Hong Wang</variant>
<variant>Wang Xiao-Hong</variant>
<variant>Xiao-Hong, Wang</variant>",,zhengliang Sun；Xiaohong Wang,"<variant>Sun Zhengliang</variant>
<variant>Zhengliang Sun</variant>
<variant>Sun Z. Liang</variant>
<variant>Z. Liang Sun</variant>
<variant>Sun Z. L.</variant>
<variant>Z. L. Sun</variant>
<variant>Sun, Zhengliang</variant>
<variant>Zhengliang, Sun</variant>
<variant>Sun Zheng-Liang</variant>
<variant>Zheng-Liang Sun</variant>
<variant>Sun Z. L.</variant>
<variant>Z. L. Sun</variant>
<variant>Wang Xiaohong</variant>
<variant>Xiaohong, Wang</variant>
<variant>Wang Xiao-Hong</variant>
<variant>Xiao-Hong Wang</variant>
<variant>Wang X. Hong</variant>
<variant>X. Hong Wang</variant>
<variant>Wang X. H.</variant>
<variant>X. H. Wang</variant>",,"{""data"": {""result"": ""{\""author_name\"":\""zhengliang Sun；Xiaohong Wang\"",\""author_name英文变体\"":\""<variant>Sun Zhengliang</variant>\\n<variant>Zhengliang Sun</variant>\\n<variant>Sun Z. Liang</variant>\\n<variant>Z. Liang Sun</variant>\\n<variant>Sun Z. L.</variant>\\n<variant>Z. L. Sun</variant>\\n<variant>Sun, Zhengliang</variant>\\n<variant>Zhengliang, Sun</variant>\\n<variant>Sun Zheng-Liang</variant>\\n<variant>Zheng-Liang Sun</variant>\\n<variant>Sun Z. L.</variant>\\n<variant>Z. L. Sun</variant>\\n<variant>Wang Xiaohong</variant>\\n<variant>Xiaohong, Wang</variant>\\n<variant>Wang Xiao-Hong</variant>\\n<variant>Xiao-Hong Wang</variant>\\n<variant>Wang X. Hong</variant>\\n<variant>X. Hong Wang</variant>\\n<variant>Wang X. H.</variant>\\n<variant>X. H. Wang</variant>\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-66a0fe3ddd7d4079b34c548041c56fac"", ""object"": ""chat.completion"", ""created"": 1781078361, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""zhengliang Sun；Xiaohong Wang\"",\""author_name英文变体\"":\""<variant>Sun Zhengliang</variant>\\n<variant>Zhengliang Sun</variant>\\n<variant>Sun Z. Liang</variant>\\n<variant>Z. Liang Sun</variant>\\n<variant>Sun Z. L.</variant>\\n<variant>Z. L. Sun</variant>\\n<variant>Sun, Zhengliang</variant>\\n<variant>Zhengliang, Sun</variant>\\n<variant>Sun Zheng-Liang</variant>\\n<variant>Zheng-Liang Sun</variant>\\n<variant>Sun Z. L.</variant>\\n<variant>Z. L. Sun</variant>\\n<variant>Wang Xiaohong</variant>\\n<variant>Xiaohong, Wang</variant>\\n<variant>Wang Xiao-Hong</variant>\\n<variant>Xiao-Hong Wang</variant>\\n<variant>Wang X. Hong</variant>\\n<variant>X. Hong Wang</variant>\\n<variant>Wang X. H.</variant>\\n<variant>X. H. Wang</variant>\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 105, ""completion_tokens"": 254, ""total_tokens"": 359}}}","{""author_name"": ""zhengliang Sun；Xiaohong Wang"", ""author_name英文变体"": ""<variant>Sun Zhengliang</variant>\n<variant>Zhengliang Sun</variant>\n<variant>Sun Z. Liang</variant>\n<variant>Z. Liang Sun</variant>\n<variant>Sun Z. L.</variant>\n<variant>Z. L. Sun</variant>\n<variant>Sun, Zhengliang</variant>\n<variant>Zhengliang, Sun</variant>\n<variant>Sun Zheng-Liang</variant>\n<variant>Zheng-Liang Sun</variant>\n<variant>Sun Z. L.</variant>\n<variant>Z. L. Sun</variant>\n<variant>Wang Xiaohong</variant>\n<variant>Xiaohong, Wang</variant>\n<variant>Wang Xiao-Hong</variant>\n<variant>Xiao-Hong Wang</variant>\n<variant>Wang X. Hong</variant>\n<variant>X. Hong Wang</variant>\n<variant>Wang X. H.</variant>\n<variant>X. H. Wang</variant>"", ""author_institution"": """"}"
