task_type,query,GT_机构名称,GT_国家,PRED_机构名称,PRED_国家,raw_output,parsed_output
机构和国家,请问caca指南对于直肠癌局部复发的建议？,caca,,CACA,,"{""data"": {""result"": ""{\""机构名称\"":\""CACA\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-c4f4e37487e44fb5972533f51312b6d6"", ""object"": ""chat.completion"", ""created"": 1781062336, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""CACA\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 10, ""total_tokens"": 98}}}","{""机构名称"": ""CACA"", ""国家"": """"}"
机构和国家,tatme在临床的普及率是多少？,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-485f1391902c4f76925ebc7ff8f65f81"", ""object"": ""chat.completion"", ""created"": 1781062336, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 86, ""completion_tokens"": 7, ""total_tokens"": 93}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,世界卫生组织（WHO）骨密度诊断标准分组,世界卫生组织,,世界卫生组织,,"{""data"": {""result"": ""{\""机构名称\"":\""世界卫生组织\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-ca63450dfcf3402ebf463d72ec2fb14d"", ""object"": ""chat.completion"", ""created"": 1781062336, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""世界卫生组织\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 86, ""completion_tokens"": 9, ""total_tokens"": 95}}}","{""机构名称"": ""世界卫生组织"", ""国家"": """"}"
机构和国家,2024ASCO GI公布了哪些早期乳腺癌治疗进展,ASCO GI,,ASCO,,"{""data"": {""result"": ""{\""机构名称\"":\""ASCO\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-e71ea584816f426da490710b2bc4b00c"", ""object"": ""chat.completion"", ""created"": 1781062337, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""ASCO\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 90, ""completion_tokens"": 10, ""total_tokens"": 100}}}","{""机构名称"": ""ASCO"", ""国家"": """"}"
机构和国家,Staphylococcus aureus clones causing osteomyelitis: a literature review (2000-2020).全文,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-29b12b6a4b9446cfb369f9febfbce3a2"", ""object"": ""chat.completion"", ""created"": 1781062337, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 106, ""completion_tokens"": 7, ""total_tokens"": 113}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,中国有gbm疫苗的临床试验开展吗？,,中国,,中国,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-8760358bcf2e4591b3308971f81bad1b"", ""object"": ""chat.completion"", ""created"": 1781062337, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 86, ""completion_tokens"": 8, ""total_tokens"": 94}}}","{""机构名称"": """", ""国家"": ""中国""}"
机构和国家,EGFR用于nsclc 靶向辅助治疗的临床研究证据是什么,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-c9fc95b5979546baa3960b81ac826c8b"", ""object"": ""chat.completion"", ""created"": 1781062337, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 89, ""completion_tokens"": 7, ""total_tokens"": 96}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,CACA指南中对于乳腺癌保乳手术的切缘有什么规定,CACA,,CACA,,"{""data"": {""result"": ""{\""机构名称\"":\""CACA\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-0b68675d64d5447f91067411c476692c"", ""object"": ""chat.completion"", ""created"": 1781062338, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""CACA\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 90, ""completion_tokens"": 10, ""total_tokens"": 100}}}","{""机构名称"": ""CACA"", ""国家"": """"}"
机构和国家,检索2025年版中国临床肿瘤学会（CSCO）胃肠道间质瘤诊疗指南全文或更新要点。,中国临床肿瘤学会,中国,中国临床肿瘤学会,中国,"{""data"": {""result"": ""{\""机构名称\"":\""中国临床肿瘤学会\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-560907b82d4a49ca93294bb623d493e9"", ""object"": ""chat.completion"", ""created"": 1781062338, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""中国临床肿瘤学会\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 102, ""completion_tokens"": 13, ""total_tokens"": 115}}}","{""机构名称"": ""中国临床肿瘤学会"", ""国家"": ""中国""}"
机构和国家,肠镜切除息肉出现肠穿孔后多久可以手术？,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-3081ca2586694b569e33c87798926403"", ""object"": ""chat.completion"", ""created"": 1781062338, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 89, ""completion_tokens"": 7, ""total_tokens"": 96}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,指南如何建议II期结直肠癌术后的化疗,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-dda86e67029648459bad23e33231c9ac"", ""object"": ""chat.completion"", ""created"": 1781062339, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 87, ""completion_tokens"": 7, ""total_tokens"": 94}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,恶性肠梗阻中国专家共识有啥推荐,,中国,中国专家,中国,"{""data"": {""result"": ""{\""机构名称\"":\""中国专家\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-ab73ffeedae7406cbf8eba15514450f3"", ""object"": ""chat.completion"", ""created"": 1781062339, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""中国专家\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 85, ""completion_tokens"": 11, ""total_tokens"": 96}}}","{""机构名称"": ""中国专家"", ""国家"": ""中国""}"
机构和国家,不适合移植的套细胞淋巴瘤患者有哪些一线治疗选择?,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-0d84075cbe094e789102a5cb901ca873"", ""object"": ""chat.completion"", ""created"": 1781062339, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 89, ""completion_tokens"": 7, ""total_tokens"": 96}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,CLSI标准中甲氧苄啶-磺胺甲噁唑的MIC折点,CLSI,,CLSI,,"{""data"": {""result"": ""{\""机构名称\"":\""CLSI\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-071dcab0d590454d807885c36fc2de0a"", ""object"": ""chat.completion"", ""created"": 1781062340, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""CLSI\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 98, ""completion_tokens"": 10, ""total_tokens"": 108}}}","{""机构名称"": ""CLSI"", ""国家"": """"}"
机构和国家,欧洲MS发病率,,欧洲,,欧洲,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""欧洲\""}""}, ""raw_openai"": {""id"": ""chatcmpl-dba312a902ed40b99b90319555055813"", ""object"": ""chat.completion"", ""created"": 1781062340, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""欧洲\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 80, ""completion_tokens"": 8, ""total_tokens"": 88}}}","{""机构名称"": """", ""国家"": ""欧洲""}"
机构和国家,IDSA,IDSA,,IDSA,,"{""data"": {""result"": ""{\""机构名称\"":\""IDSA\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-98bdb355e6f44f1f966f5d75ccddf049"", ""object"": ""chat.completion"", ""created"": 1781062340, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""IDSA\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 79, ""completion_tokens"": 10, ""total_tokens"": 89}}}","{""机构名称"": ""IDSA"", ""国家"": """"}"
机构和国家,AD的 2011/2018 年的 NIA-AA 标准,NIA-AA,,NIA-AA,,"{""data"": {""result"": ""{\""机构名称\"":\""NIA-AA\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-1f9365d6c8e243d78a6de0a1423a60c7"", ""object"": ""chat.completion"", ""created"": 1781062340, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""NIA-AA\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 96, ""completion_tokens"": 11, ""total_tokens"": 107}}}","{""机构名称"": ""NIA-AA"", ""国家"": """"}"
机构和国家,近一个年精神疾病领域的综述有哪些,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-0583f885acc94d30abfe34e78e4dce11"", ""object"": ""chat.completion"", ""created"": 1781062341, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 85, ""completion_tokens"": 7, ""total_tokens"": 92}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,以一个外科医生的观点讨论2023版csco结直肠癌诊疗指南中转移性结直肠癌的解读,csco,,csco,,"{""data"": {""result"": ""{\""机构名称\"":\""csco\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-ab533086a24a406fb98f12c7ea700020"", ""object"": ""chat.completion"", ""created"": 1781062341, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""csco\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 100, ""completion_tokens"": 10, ""total_tokens"": 110}}}","{""机构名称"": ""csco"", ""国家"": """"}"
机构和国家,"A systematic review supporting the Society for Vascular Surgery, the American Venous Forum, and the American Vein and Lymphatic Society guidelines on the management of varicose veins","Society for Vascular Surgery, American Venous Forum, American Vein and Lymphatic Society",,"Society for Vascular Surgery, American Venous Forum, American Vein and Lymphatic Society",美国,"{""data"": {""result"": ""{\""机构名称\"":\""Society for Vascular Surgery, American Venous Forum, American Vein and Lymphatic Society\"",\""国家\"":\""美国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-6d1a2fed38e5416bb1399ecc74a7f22e"", ""object"": ""chat.completion"", ""created"": 1781062342, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""Society for Vascular Surgery, American Venous Forum, American Vein and Lymphatic Society\"",\""国家\"":\""美国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 113, ""completion_tokens"": 29, ""total_tokens"": 142}}}","{""机构名称"": ""Society for Vascular Surgery, American Venous Forum, American Vein and Lymphatic Society"", ""国家"": ""美国""}"
机构和国家,你好，请帮忙查询10篇关于皮肤护理的病例报道,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-c1fe0195c20942ed8a87a50a33e8fa0f"", ""object"": ""chat.completion"", ""created"": 1781062342, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 91, ""completion_tokens"": 7, ""total_tokens"": 98}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,ANSWER研究中，人血白蛋白长期应用于失代偿期肝硬化，死亡风险降低多少？,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-58404fcf0caf4fb995d1c61c32d6221e"", ""object"": ""chat.completion"", ""created"": 1781062342, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 98, ""completion_tokens"": 7, ""total_tokens"": 105}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,甘露醇在脑出血中的用法用量,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-7fde61dec4cb41f695ed15f58e6c4eb2"", ""object"": ""chat.completion"", ""created"": 1781062343, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 85, ""completion_tokens"": 7, ""total_tokens"": 92}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,2024ASCO肠癌治疗进展,ASCO,,ASCO,,"{""data"": {""result"": ""{\""机构名称\"":\""ASCO\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-d69880377a374ebcb29c828957745fcb"", ""object"": ""chat.completion"", ""created"": 1781062343, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""ASCO\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 87, ""completion_tokens"": 10, ""total_tokens"": 97}}}","{""机构名称"": ""ASCO"", ""国家"": """"}"
机构和国家,前列腺癌放射性核素治疗的相关配体有哪些？（例如psma）,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-43d415b4d5884d63a3dd6c2c45d18a36"", ""object"": ""chat.completion"", ""created"": 1781062343, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 93, ""completion_tokens"": 7, ""total_tokens"": 100}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,检索《中国脑血管病临床管理指南 第2版》全文及相关解读内容。,中国脑血管病临床管理指南,中国,中国脑血管病临床管理指南,中国,"{""data"": {""result"": ""{\""机构名称\"":\""中国脑血管病临床管理指南\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-b5ed6d649bb340f7a068def3a0d1e1aa"", ""object"": ""chat.completion"", ""created"": 1781062344, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""中国脑血管病临床管理指南\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 95, ""completion_tokens"": 15, ""total_tokens"": 110}}}","{""机构名称"": ""中国脑血管病临床管理指南"", ""国家"": ""中国""}"
机构和国家,ESMO大会发表了哪些尿路上皮癌研究？,ESMO,,ESMO,,"{""data"": {""result"": ""{\""机构名称\"":\""ESMO\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-f5242afb3b00401cad12138e531ff104"", ""object"": ""chat.completion"", ""created"": 1781062344, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""ESMO\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 10, ""total_tokens"": 98}}}","{""机构名称"": ""ESMO"", ""国家"": """"}"
